year,country,gdp_growth,gross_capital_fromation,patent_resident,patent_n_resident,fdi,unemp,fdi_bop,net_trade,gov_exp_edu,inf,pop
1985,China,13.4306775204146,39.064106893606,4065,4493,0.536046583129515,1.8,-1.03e+09,-1.3123e+10,2.00814008712769,10.2093990441261,1051040000
1986,China,8.94996176439109,37.7270016851388,3494,4515,0.623424605798281,2,-1.425e+09,-9.14e+09,2.06154990196228,4.66902079731935,1066790000
1987,China,11.6574277931257,37.320879776941,3975,4084,0.847702964733309,2,-1.669e+09,-1.661e+09,1.80425000190735,5.08251646766406,1084035000
1988,China,11.222594982521,39.0783093902467,4780,4872,1.02255894629729,2,-2.344e+09,-5.315e+09,1.76417994499207,12.1076614989562,1101630000
1989,China,4.20633435548258,37.2086867816609,4749,4910,0.97565028966922,2.6,-2.613e+09,-5.62e+09,,8.60246513371632,1118650000
1990,China,3.9202513677681,34.157848854484,5832,4305,0.966308310992784,2.5,-2.657e+09,9.165e+09,,5.71122416868202,1135185000
1991,China,9.26278608516616,35.2363600512445,7372,4051,1.13883773180262,2.3,-3.453e+09,8.743e+09,,6.71453695848909,1150780000
1992,China,14.2245295924965,39.0718680056364,10022,4387,2.61316219284371,2.3,-7.156e+09,5.183e+09,1.65455996990204,8.19032302163217,1164970000
1993,China,13.8837293017729,43.2831497569643,12084,7534,6.18688207614214,2.6,-2.3115e+10,-1.0654e+10,1.65785002708435,15.1858645089504,1178440000
1994,China,13.0368066326745,40.0502854739137,11191,7876,5.98718616500824,2.8,-3.1787e+10,7.29e+09,1.98571002483368,20.6169888119177,1191835000
1995,China,10.9539543419,38.8377197998557,10011,8688,4.88086319996149,2.9,-33849200000,18050110000,1.84192001819611,13.6656964001969,1204855000
1996,China,9.92255675282291,37.5417204673365,11628,11114,4.65181266315599,3,-3.8066e+10,1.9535e+10,1.85338997840881,6.50673063542777,1217550000
1997,China,9.23677989187537,35.5229456528019,12672,12102,4.72534384272724,3.1,-4.1674e+10,1.3552e+10,,1.61656874206059,1230075000
1998,China,7.84595178729862,34.8136823326466,13751,33645,4.43550102416557,3.1,-4.1117e+10,8.662e+09,1.84432995319366,-0.900251628944076,1241935000
1999,China,7.6616515004031,34.1097089114429,15626,34418,3.74898123668431,3.1,-3.6978e+10,-3.342e+09,1.88803994655609,-1.26305893875535,1252735000
2000,China,8.49009340597647,33.5730284937681,25346,26560,3.47512590256774,3.707,-37483300000,-13565524000,,2.06279261346987,1262645000
2001,China,8.33573347817196,35.5415967198136,30038,33412,3.5129885385098,3.6,-3.7357e+10,-2.2568e+10,,2.04704945728633,1271850000
2002,China,9.13363078966614,36.1534434433744,39806,40426,3.60908113491298,4,-46789569178.7806,-18020418974.554,,0.602099078250106,1280400000
2003,China,10.0380304810393,39.6201305878555,56769,48548,3.48741889929233,4.3,-49444853743.8231,33689172314.978,,2.60317771902103,1288400000
